id,figureNum,matchedFigure,storedAnswer,visionAnswer,answerChanged,confidence,status,question
9,"1","1-1","A","A",,"high","matched","(Refer to Figure 1.) When different rated capacitors are connected in series in "
13,"2","1-2","C","C",,"high","matched","(Refer to Figure 2.) What is the total capacitance of a circuit containing three"
21,"3","1-3","A","A",,"high","matched","(Refer to Figure 3.) When more than two inductors of different inductances are c"
32,"4","1-4","A","C",YES,"high","matched","(Refer to Figure 4.) How much power is being furnished to the circuit?"
33,"5","1-5","C","C",,"high","matched","(Refer to Figure 5.) What is the impedance of an ac-series circuit consisting of"
34,"6","","A","",,"","vision-failed","(Refer to Figure 6.) If resistor R(5) is disconnected at the junction of R(4) an"
35,"7","1-7","A","C",YES,"high","matched","(Refer to Figure 7.) If resistor R(3) is disconnected at terminal D, what will t"
37,"8","1-8","A","B",YES,"high","matched","(Refer to Figure 8.) With an ohmmeter connected into the circuit as shown, what "
46,"10","1-10","B","B",,"high","matched","(Refer to Figure 10.) What is the measured voltage of the series-parallel circui"
47,"64","1-66","A","A",,"high","matched","(Refer to Figure 64.) A 24-volt source is required to furnish 48 watts to a para"
58,"11","","A","",,"","vision-failed","(Refer to Figure 11.) Find the total current flowing in the wire between points "
59,"11","1-11","A","A",,"high","matched","(Refer to Figure 11.) What happens to the current in the circuit if all the resi"
60,"11","1-11","A","C",YES,"high","matched","(Refer to Figure 11.) Find the voltage across the 8-ohm resistor."
63,"12","","A","",,"","vision-failed","(Refer to Figure 12.) Find the total resistance of the circuit."
66,"13","1-13","B","B",,"high","matched","(Refer to Figure 13.) Determine the total current flow in the circuit."
68,"14","1-14","A","C",YES,"high","matched","(Refer to Figure 14.) The total resistance of the circuit is"
71,"64","1-66","A","A",,"high","matched","(Refer to Figure 64.) A 48-volt source is required to furnish 192 watts to a par"
75,"15","","A","",,"","vision-failed","(Refer to Figure 15.) With the landing gear retracted, the red indicator light w"
76,"15","1-15","C","C",,"medium","matched","(Refer to Figure 15.) Wire 7 is used to"
77,"15","1-15","A","B",YES,"high","matched","(Refer to Figure 15.) When the landing gear is down, the green light will not co"
78,"16","1-16","A","C",YES,"medium","matched","(Refer to Figure 16.) What will be the effect if the PCO relay fails to operate "
79,"16","","A","",,"","vision-failed","(Refer to Figure 16.) The TCO relay will operate if 24-volts DC is applied to th"
80,"16","1-16","A","A",,"medium","matched","(Refer to Figure 16.) With power to the bus and the fuel selector switched to th"
81,"16","1-16","A","A",,"high","matched","(Refer to Figure 16.) When electrical power is applied to the bus, which relays "
82,"16","","A","",,"","vision-failed","(Refer to Figure 16.) Energize the circuit with the fuel tank selector switch se"
84,"17","1-17","A","A",,"medium","matched","(Refer to Figure 17.) The electrical symbol represented at number 5 is a variabl"
85,"18","","A","",,"","vision-failed","(Refer to Figure 18.) When the landing gear is up and the throttles are retarded"
86,"18","1-18","B","B",,"high","matched","(Refer to Figure 18.) The control valve switch must be placed in the neutral pos"
88,"19","","A","",,"","vision-failed","(Refer to Figure 19.) When the throttles are retarded with only the right gear d"
89,"19","","A","",,"","vision-failed","(Refer to Figure 19.) When the landing gears are up and the throttles are retard"
92,"20","1-20","C","C",,"high","matched","(Refer to Figure 20.) Troubleshooting an open circuit with a voltmeter as shown "
93,"21","1-21","A","A",,"high","matched","(Refer to Figure 21.) Which symbol represents a variable resistor?"
97,"22","1-22","A","A",,"medium","matched","(Refer to Figure 22.) Which illustration is correct concerning bias application "
99,"23","1-23","A","C",YES,"high","matched","(Refer to Figure 23.) If an open occurs at R(1), the light"
100,"23","","C","",,"","vision-failed","(Refer to Figure 23.) If R(2) sticks in the up position, the light will"
102,"25","1-25","B","C",YES,"high","matched","(Refer to Figure 25.) In a functional and operating circuit, the depicted logic "
119,"2","3-2","B","B",,"high","matched","(Refer to Figure 2.) Select the preferred drawing for proper countersinking."
128,"27","1-27","A","B",YES,"medium","matched","(Refer to Figure 27.) In the isometric view of a typical aileron balance weight,"
138,"31","1-31","A","C",YES,"medium","matched","(Refer to Figure 31.) What are the proper procedural steps for sketching repairs"
140,"32","1-32","B","B",,"medium","matched","(Refer to Figure 32.) What is the next step required for a working sketch of the"
152,"33","1-33","A","A",,"high","matched","(Refer to Figure 33.) Which material section-line symbol indicates cast iron?"
153,"34","1-34","C","C",,"high","matched","(Refer to Figure 34.) What is the dimension of the chamfer?"
154,"34","1-34","A","A",,"high","matched","(Refer to Figure 34.) What is the maximum diameter of the hole for the clevis pi"
155,"34","1-34","A","B",YES,"high","matched","(Refer to Figure 34.) What would be the minimum diameter of 4130 round stock req"
156,"34","","B","",,"","vision-failed","(Refer to Figure 34.) Using the information, what size drill would be required t"
165,"6","","B","",,"","vision-failed","(Refer to Figure 6.) Determine the dimensions of A, B, and C in the flat layout."
166,"6","","A","",,"","vision-failed","(Refer to Figure 6.) What is dimension D? Setback = .252 Bend allowance = .345"
168,"7","","A","",,"","vision-failed","(Refer to Figure 7.) What is dimension F? Setback at D = .095 Setback at E = .06"
177,"38","1-38","A","A",,"high","matched","(Refer to Figure 38.) An aircraft reciprocating engine has a 2,800 cubic-inch di"
180,"39","1-39","A","B",YES,"high","matched","(Refer to Figure 39.) Determine the minimum wire size of a single cable in a bun"
182,"40","1-40","A","A",,"medium","matched","(Refer to Figure 40.) Determine the proper tension for a 1/8-inch cable (7 x 19)"
183,"40","1-40","A","B",YES,"medium","matched","(Refer to Figure 40.) Determine the proper tension for a 3/16-inch cable (7 x 19"
280,"8","3-8","A","A",,"high","matched","(Refer to Figure 8.) Identify the cable that is used in primary control systems "
282,"9","3-9","A","B",YES,"high","matched","(Refer to Figure 9.) When the outside air temperature is 80F, select the accepta"
326,"42","1-42","A","B",YES,"high","matched","(Refer to Figure 42.) Which of the bolthead code markings shown identifies an AN"
378,"10","3-10","A","A",,"high","matched","(Refer to Figure 10.) The trunnion nut on an aircraft landing gear requires a to"
389,"51","1-51","C","C",,"high","matched","(Refer to Figure 51.) Which marshalling signal should be given if a taxiing airc"
480,"55","1-55","B","B",,"high","matched","(Refer to Figure 55.) Find the area of the triangle shown."
522,"59","","A","",,"","vision-failed","(Refer to Figure 59.) Solve the equation."
538,"13","3-13","C","C",,"high","matched","(Refer to Figure 13.) Determine what unit is located immediately downstream of t"
567,"14","","A","",,"","vision-failed","(Refer to Figure 14.) One hour after an oxygen system was charged for a leakage "
619,"5","2-5","A","C",YES,"medium","matched","(Refer to Figure 5.) With power applied to the bus bar, what wire supplies stand"
620,"5","2-5","A","C",YES,"medium","matched","(Refer to Figure 5.) With power applied to the bus bar, what switch changes will"
622,"5","2-5","A","C",YES,"medium","matched","(Refer to Figure 5.) If wire 8 is broken or disconnected after starter rotation "
623,"62","","A","",,"","vision-failed","(Refer to Figure 62, 62A, and 62B as necessary.) Which doubler(s) require(s) hea"
626,"62","1-62","A","C",YES,"medium","matched","(Refer to Figure 62.) The -100 in the title block (Area 1) is applicable to whic"
682,"15","3-15","A","A",,"high","matched","(Refer to Figure 15.) What is the approximate drag load on an antenna with a fro"
683,"15","3-15","A","A",,"high","matched","(Refer to Figure 15.) What is the approximate drag load on an antenna with a fro"
687,"16","3-16","A","C",YES,"high","matched","(Refer to Figure 16.) Which of the antennas shown is a typical DME antenna?"
